,Unnamed: 0,Destination,Origin,T1990,T1995,T2000,T2005,T2010,T2015,T2020,M1990,M1995,M2000,M2005,M2010,M2015,M2020,F1990,F1995,F2000,F2005,F2010,F2015,F2020,origin_lat,origin_long,dest_lat,dest_long
18,35,world,northern europe,6227251.0,6202247.0,6422540.0,6780094.0,7178780.0,7315147.0,7884780.0,2959183.0,2945625.0,3053954.0,3254617.0,3443327.0,3529209.0,3820591.0,3268068.0,3256622.0,3368586.0,3525477.0,3735453.0,3785938.0,4064189.0,61.541307,11.573982,,
19,36,world,southern europe,10622826.0,11889956.0,12651345.0,11535218.0,11728125.0,12045253.0,14017111.0,5425783.0,6028232.0,6387954.0,5819357.0,5844716.0,6004592.0,7109579.0,5197043.0,5861724.0,6263391.0,5715861.0,5883409.0,6040661.0,6907532.0,40.04744,-3.988746,,
20,37,world,western europe,6100528.0,6375212.0,6833240.0,7466886.0,8226254.0,8394738.0,9177420.0,2825202.0,2985079.0,3230342.0,3563541.0,3874004.0,3970660.0,4350599.0,3275326.0,3390133.0,3602898.0,3903345.0,4352250.0,4424078.0,4826821.0,48.144353,7.037436,,
21,38,world,latin america and the caribbean,15273399.0,19669704.0,24628700.0,29338206.0,34637650.0,36206000.0,42890481.0,7544689.0,9726163.0,12182539.0,14495367.0,16857618.0,17582139.0,20697275.0,7728710.0,9943541.0,12446161.0,14842839.0,17780032.0,18623861.0,22193206.0,19.432384,-100.460844,,
22,39,world,caribbean,4139775.0,5035853.0,5966487.0,6506671.0,7273502.0,8135307.0,9078772.0,1973524.0,2347284.0,2729146.0,2979365.0,3274934.0,3802917.0,4252967.0,2166251.0,2688569.0,3237341.0,3527306.0,3998568.0,4332390.0,4825805.0,18.500124,-75.063329,,
23,40,world,central america,6823036.0,9288464.0,12228703.0,13978650.0,16204451.0,16291222.0,16198974.0,3539221.0,4886482.0,6477478.0,7424343.0,8489498.0,8439482.0,8312535.0,3283815.0,4401982.0,5751225.0,6554307.0,7714953.0,7851740.0,7886439.0,17.145601,-94.557348,,
24,41,world,south america,4310588.0,5345387.0,6433510.0,8852885.0,11159697.0,11779471.0,17612735.0,2031944.0,2492397.0,2975915.0,4091659.0,5093186.0,5339740.0,8131773.0,2278644.0,2852990.0,3457595.0,4761226.0,6066511.0,6439731.0,9480962.0,-12.684091,-56.063741,,
25,42,world,northern america,2802135.0,2946161.0,3149919.0,3512106.0,3969803.0,4014649.0,4327958.0,1265636.0,1332584.0,1428451.0,1621606.0,1828799.0,1860379.0,2021487.0,1536499.0,1613577.0,1721468.0,1890500.0,2141004.0,2154270.0,2306471.0,43.947885,-98.041543,,
26,43,world,oceania,961547.0,1071295.0,1246836.0,1391418.0,1591168.0,1751422.0,1970205.0,468974.0,519067.0,604446.0,680818.0,788805.0,863511.0,967645.0,492573.0,552228.0,642390.0,710600.0,802363.0,887911.0,1002560.0,-21.439922,152.58884,,
27,44,world,australia and new zealand,689030.0,758234.0,871660.0,984280.0,1149265.0,1256202.0,1404924.0,335351.0,366709.0,421127.0,481926.0,573939.0,622696.0,693842.0,353679.0,391525.0,450533.0,502354.0,575326.0,633506.0,711082.0,-25.79385,138.356838,,
28,1415,latin america and the caribbean,world,7135971.0,6661553.0,6539738.0,7184113.0,8326588.0,9441503.0,14794623.0,3582217.0,3335229.0,3266229.0,3572498.0,4139431.0,4738649.0,7473421.0,3553754.0,3326324.0,3273509.0,3611615.0,4187157.0,4702854.0,7321202.0,,,19.432384,-100.460844
29,1420,latin america and the caribbean,latin america and the caribbean,3980808.0,3670383.0,3777576.0,4357513.0,5344184.0,6166726.0,11297173.0,1975515.0,1814401.0,1858809.0,2124686.0,2598130.0,3040982.0,5626827.0,2005293.0,1855982.0,1918767.0,2232827.0,2746054.0,3125744.0,5670346.0,19.432384,-100.460844,19.432384,-100.460844
30,1421,latin america and the caribbean,oceania (excluding australia and new zealand),65.0,111.0,153.0,148.0,156.0,172.0,179.0,36.0,57.0,76.0,76.0,86.0,98.0,106.0,29.0,54.0,77.0,72.0,70.0,74.0,73.0,-6.82688,145.715927,19.432384,-100.460844
31,1422,latin america and the caribbean,australia and new zealand,2487.0,2801.0,3247.0,3437.0,4093.0,4551.0,5451.0,1254.0,1421.0,1657.0,1885.0,2413.0,2715.0,3309.0,1233.0,1380.0,1590.0,1552.0,1680.0,1836.0,2142.0,-25.79385,138.356838,19.432384,-100.460844
32,1436,latin america and the caribbean,africa,19192.0,19478.0,20285.0,21850.0,27847.0,39533.0,48791.0,10213.0,10364.0,10829.0,11549.0,15400.0,24019.0,30958.0,8979.0,9114.0,9456.0,10301.0,12447.0,15514.0,17833.0,11.375205,18.667941,19.432384,-100.460844
33,1437,latin america and the caribbean,eastern africa,2286.0,2615.0,3006.0,3167.0,3628.0,4029.0,4229.0,1302.0,1389.0,1516.0,1425.0,1520.0,1667.0,1806.0,984.0,1226.0,1490.0,1742.0,2108.0,2362.0,2423.0,1.284477,36.395127,19.432384,-100.460844
34,1438,latin america and the caribbean,middle africa,5541.0,6225.0,6927.0,7324.0,7728.0,10862.0,13934.0,2817.0,3328.0,3858.0,3965.0,4063.0,6077.0,8334.0,2724.0,2897.0,3069.0,3359.0,3665.0,4785.0,5600.0,0.245791,20.311119,19.432384,-100.460844
35,1439,latin america and the caribbean,northern africa,9120.0,8347.0,7739.0,7317.0,7649.0,8734.0,9215.0,4841.0,4359.0,3972.0,3870.0,4258.0,4865.0,5240.0,4279.0,3988.0,3767.0,3447.0,3391.0,3869.0,3975.0,25.349166,20.092951,19.432384,-100.460844
36,1440,latin america and the caribbean,southern africa,925.0,999.0,1118.0,983.0,2552.0,2903.0,3208.0,486.0,532.0,605.0,533.0,1667.0,1913.0,2145.0,439.0,467.0,513.0,450.0,885.0,990.0,1063.0,-23.955657,23.723146,19.432384,-100.460844
37,1441,latin america and the caribbean,western africa,1320.0,1292.0,1495.0,3059.0,6290.0,13005.0,18205.0,767.0,756.0,878.0,1756.0,3892.0,9497.0,13433.0,553.0,536.0,617.0,1303.0,2398.0,3508.0,4772.0,13.01892,-4.551812,19.432384,-100.460844
38,1442,latin america and the caribbean,asia,263267.0,258892.0,258933.0,264943.0,285869.0,341807.0,402369.0,144347.0,141618.0,141317.0,145688.0,159370.0,196097.0,238299.0,118920.0,117274.0,117616.0,119255.0,126499.0,145710.0,164070.0,47.594606,87.520641,19.432384,-100.460844
39,1443,latin america and the caribbean,central asia,9.0,16.0,20.0,46.0,130.0,147.0,150.0,3.0,7.0,9.0,12.0,32.0,36.0,40.0,6.0,9.0,11.0,34.0,98.0,111.0,110.0,44.488183,66.966089,19.432384,-100.460844
40,1444,latin america and the caribbean,eastern asia,177318.0,176130.0,178443.0,183522.0,199238.0,243598.0,285746.0,94683.0,93560.0,94275.0,97168.0,106558.0,135793.0,163792.0,82635.0,82570.0,84168.0,86354.0,92680.0,107805.0,121954.0,35.736775,105.679125,19.432384,-100.460844
41,1445,latin america and the caribbean,south-eastern asia,4746.0,5496.0,6487.0,9276.0,12328.0,13542.0,15115.0,2611.0,2996.0,3533.0,5098.0,6816.0,7550.0,8664.0,2135.0,2500.0,2954.0,4178.0,5512.0,5992.0,6451.0,-0.004774,114.124768,19.432384,-100.460844
42,1446,latin america and the caribbean,southern asia,7816.0,8905.0,10306.0,12100.0,16038.0,19704.0,30096.0,4589.0,5267.0,6165.0,7501.0,10259.0,13044.0,22038.0,3227.0,3638.0,4141.0,4599.0,5779.0,6660.0,8058.0,25.436697,75.162443,19.432384,-100.460844
43,1447,latin america and the caribbean,western asia,73378.0,68345.0,63677.0,59999.0,58135.0,64816.0,71262.0,42461.0,39788.0,37335.0,35909.0,35705.0,39674.0,43765.0,30917.0,28557.0,26342.0,24090.0,22430.0,25142.0,27497.0,25.422319,44.576248,19.432384,-100.460844
44,1448,latin america and the caribbean,europe,1817209.0,1600698.0,1396387.0,1248692.0,1147896.0,1291715.0,1355886.0,930072.0,817812.0,712751.0,639480.0,590845.0,663122.0,704491.0,887137.0,782886.0,683636.0,609212.0,557051.0,628593.0,651395.0,48.753021,18.93452,19.432384,-100.460844
45,1449,latin america and the caribbean,eastern europe,117526.0,97959.0,79727.0,62376.0,48637.0,52879.0,56427.0,53142.0,43172.0,33852.0,27118.0,21862.0,23967.0,26273.0,64384.0,54787.0,45875.0,35258.0,26775.0,28912.0,30154.0,60.90245,56.64812,19.432384,-100.460844
46,1450,latin america and the caribbean,northern europe,44542.0,45784.0,48727.0,48691.0,51906.0,57581.0,64623.0,22445.0,23421.0,25383.0,25876.0,28011.0,31036.0,35704.0,22097.0,22363.0,23344.0,22815.0,23895.0,26545.0,28919.0,61.541307,11.573982,19.432384,-100.460844
